Abóbora D´Agua,green,VEGETABLE,medium,high,high,medium,medium,low,low,low,low,low,low,medium
Abóbora Japonesa,green,VEGETABLE,medium,medium,high,high,high,high,low,low,low,low,low,low
Abóbora Moranga,green,VEGETABLE,low,low,low,low,low,low,low,high,high,high,medium,low
Abóbora Paulista,green,VEGETABLE,medium,medium,high,high,high,medium,medium,medium,medium,high,high,low
Abóbora Seca,green,VEGETABLE,medium,medium,high,high,high,high,low,low,low,low,medium,medium
Abobrinha Brasileira,green,VEGETABLE,high,high,medium,high,low,medium,low,low,low,medium,medium,low
Abobrinha Italiana,green,VEGETABLE,medium,low,medium,medium,high,high,low,medium,medium,high,high,low
Alcachofra,purple,VEGETABLE,low,low,low,low,low,low,low,medium,high,high,medium,low
Batata Doce Amarela,yellow,VEGETABLE,low,low,medium,high,high,high,medium,medium,low,low,low,low
Batata Doce Branca,brown,VEGETABLE,high,high,high,medium,medium,high,low,medium,medium,high,high,medium
Batata Doce Rosada,purple,VEGETABLE,medium,high,high,medium,medium,low,low,low,low,low,low,medium
Batata Doce Roxa,purple,VEGETABLE,low,medium,medium,medium,high,high,low,high,medium,medium,low,low
Batata Yakon,yellow,VEGETABLE,high,high,medium,medium,medium,medium,low,low,low,low,medium,low
Berinjela Comum,purple,VEGETABLE,high,medium,medium,medium,medium,medium,low,medium,medium,medium,high,medium
Berinjela Japonesa,purple,VEGETABLE,low,medium,medium,medium,low,low,low,low,medium,high,high,medium
Beterraba,purple,VEGETABLE,high,medium,medium,medium,medium,medium,low,high,high,high,high,medium
Cará,brown,VEGETABLE,medium,low,medium,high,high,high,medium,high,high,high,medium,low
Cenoura,orange,VEGETABLE,high,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,high
Chuchu,green,VEGETABLE,medium,medium,high,high,medium,medium,low,medium,medium,high,high,low
Ervilha Torta,green,VEGETABLE,low,low,low,medium,medium,high,medium,high,high,low,low,low
Feijão de Corda,green,VEGETABLE,high,high,medium,high,medium,low,low,low,low,low,medium,high
Gengibre,brown,VEGETABLE,high,low,low,medium,high,high,low,low,low,low,low,low
Inhame,brown,VEGETABLE,high,low,medium,high,high,high,medium,high,medium,medium,medium,low
Jiló,green,VEGETABLE,high,high,high,high,high,high,medium,medium,medium,low,high,medium
Lakio,green,VEGETABLE,medium,low,low,low,low,low,low,low,medium,high,high,medium
Lenkon,brown,VEGETABLE,low,medium,high,high,high,high,medium,high,medium,low,low,low
